data,icms_previsto,icms_previsto_log
2024-02-01,17546738422.253036,23.58813392470112
2024-03-01,18481544274.361736,23.640038464298584
2024-04-01,19464900755.638874,23.691878719390072
2024-05-01,20024224662.35724,23.72020861066722
2024-06-01,19716012092.666874,23.704696939132166
2024-07-01,21130780868.976536,23.77399662335659
2024-08-01,21709049721.041695,23.80099504839274
2024-09-01,21513264508.42779,23.791935535722587
2024-10-01,22395860662.68114,23.832141986886697
2024-11-01,21996810478.60942,23.81416330154934
2024-12-01,21933147141.90857,23.811264897602808
2025-01-01,22066129701.55916,23.817309677158992
2025-02-01,21796194625.12336,23.80500123302377
2025-03-01,22815365484.17955,23.850700070666218
2025-04-01,23730595090.47513,23.89003098463865
2025-05-01,23779920944.611687,23.892107403754896
2025-06-01,23140926611.660828,23.86486860162935
2025-07-01,24180725496.419792,23.90882168567053
2025-08-01,23875450566.78296,23.896116595042272
2025-09-01,23905811940.050484,23.897387443729013
2025-10-01,24327243698.553448,23.914862699143136
2025-11-01,23142607250.264896,23.864941225237125
2025-12-01,23361958108.9742,23.874374814551615
2026-01-01,23217810471.41996,23.868185513826955
2026-02-01,22469202622.430923,23.835411436195834
2026-03-01,22644321086.815693,23.843174932794877
2026-04-01,22820770019.248764,23.850936923985845
2026-05-01,22664981918.33295,23.84408692355964
2026-06-01,22935256901.876972,23.855941166235493
2026-07-01,23523980310.412766,23.881286176543803
2026-08-01,23318513315.92129,23.87251344493514
2026-09-01,23564300693.935986,23.882998721258435
2026-10-01,23795384156.44657,23.892757455808017
2026-11-01,23667806332.675972,23.88738157906201
2026-12-01,24329364293.930584,23.91494986491428
