data,Modelo 1,Modelo 2,Modelo 3,Modelo 4,Modelo 5,Media
2024-02-01,17033902534.342485,15860072942.386818,15771553223.681814,16596363537.88984,16305596736.936598,16313497795.04751
2024-03-01,17044073333.863249,16523818540.735842,16411854776.409744,16740912790.06411,16999151630.587461,16743962214.33208
2024-04-01,17323415255.608505,17179963219.723656,17132233389.550413,17977438603.823254,17859824090.18719,17494574911.778603
2024-05-01,17606959637.519894,17402199070.334644,17264759090.105663,17905277712.700928,17592160623.92144,17554271226.916515
2024-06-01,16769993567.57583,16280942991.134623,16568107781.74549,16970537994.656796,17442725986.589985,16806461664.340542
2024-07-01,17606960195.659286,17400997950.67598,18034093407.770824,17946357046.28279,18049764258.48601,17807634571.77498
2024-08-01,17323430064.40399,17723531163.360874,18107612691.211346,18271864232.82696,18543075875.33912,17993902805.42846
2024-09-01,17044465702.722748,17800730794.401306,18407707432.131683,18627537418.099777,18968951413.345024,18169878552.140106
2024-10-01,17606960196.429935,18430170559.71005,19316060708.122814,19355143245.008007,19618490545.3754,18865365050.92924
2024-11-01,17044465702.723778,18276986594.18808,19171333976.979187,18878532000.915653,19502796363.544533,18574822927.670246
2024-12-01,17323430064.43218,19431978932.093594,20135121625.819954,19645914251.502655,20157619846.907234,19338812944.151123
2025-01-01,17606960196.429996,18187995131.55354,18791714219.869522,18830539735.39563,19232040406.64529,18529849937.978798
2025-02-01,16769993587.34378,16876134199.67606,17442474288.491325,17939185078.897137,18611925700.260635,17527942570.93379
2025-03-01,17044465702.723778,17875314244.765404,18537722704.664787,18964282632.56349,19873344336.33345,18459025924.210182
2025-04-01,17323430064.43218,18796639481.098206,19162251161.517204,20061733619.328762,20425709869.126247,19153952839.100517
2025-05-01,17323430064.43218,18444789182.338387,18627937929.19111,19693956950.927986,19717825795.728867,18761587984.523705
2025-06-01,17044465702.723778,17698347005.822803,17951391776.217697,19118870086.674633,19045726935.129955,18171760301.313774
2025-07-01,17606960196.429996,17889654690.61242,18752106995.511265,19690349576.40066,19453533078.270958,18678520907.44506
2025-08-01,17044465702.723778,17998768188.296947,18519809081.489937,19590245925.930096,19682037550.3364,18567065289.75543
2025-09-01,17323430064.43218,18480534985.728935,19197865217.90203,20244016471.25389,20064623886.575195,19062094125.178448
2025-10-01,17606960196.429996,18985713474.588825,19828838005.545124,21036146068.815647,20584276566.30832,19608386862.33758
2025-11-01,16769993587.34378,18058345543.563454,18961757418.82823,20071544233.479267,20219880279.118176,18816304212.466583
2025-12-01,17606960196.429996,19491605038.34719,20573439164.83058,21657641416.622833,21169006605.04567,20099730484.255257
2026-01-01,17323430064.43218,18123618904.47979,19021215581.405037,20604324233.3891,20509063808.15825,19116330518.37287
2026-02-01,16769993587.34378,17277425479.196445,17693484165.45371,19815172134.70585,19366664631.91329,18184547999.722614
2026-03-01,17323430064.43218,17947383665.031086,18096865415.988083,19943106548.83495,19224700469.926125,18507097232.842487
2026-04-01,17323430064.43218,17631570997.20738,17494855931.363834,19699611677.80582,19051560799.31127,18240205894.024097
2026-05-01,17044465702.723778,17342026426.400055,17473283624.878357,19706507150.00583,19360553071.984077,18185367195.198418
2026-06-01,17323430064.43218,17858041843.990738,18375127422.501152,20492035427.050854,19766462751.542633,18763019501.90351
2026-07-01,17606960196.429996,18265559563.937035,18827702718.15062,20632218830.900574,19612792316.4554,18989046725.174725
2026-08-01,17044465702.723778,17565159936.725735,17911672308.553257,19720638713.47377,19475288933.619812,18343445119.019268
2026-09-01,17323430064.43218,18361737682.775204,19110549849.82709,20998804602.918495,20427310190.650555,19244366478.120705
2026-10-01,17323430064.43218,18703767984.09281,19700877818.202293,21731962910.884384,21147187131.789608,19721445181.880257
2026-11-01,17044465702.723778,18399260429.104393,19652158770.440456,21525614275.06843,21320524776.215233,19588404790.71046
2026-12-01,17606960196.429996,19982889530.452812,21667430496.33878,23613009630.33606,22880706827.070724,21150199336.125675
