data,icms_realizado,icms_previsto_medio,icms_lower_95,icms_upper_95
2023-09-01,17090036165.48,,,
2023-10-01,17131582681.720003,,,
2023-11-01,16945441309.869999,,,
2023-12-01,18064811243.469997,,,
2024-01-01,17315459932.759995,,,
2024-02-01,16509914512.71,,,
2024-03-01,16358795162.18,,,
2024-04-01,17912483626.28,,,
2024-05-01,17713038462.01,,,
2024-06-01,17881964205.53,,,
2024-07-01,18884647195.539997,,,
2024-08-01,18464746279.41,,,
2024-09-01,18953148463.93,,,
2024-10-01,19425014887.719997,,,
2024-11-01,18868802564.779995,,,
2024-12-01,19873352591.749996,,,
2025-01-01,19026769903.56,,,
2025-02-01,18712825995.110004,,,
2025-03-01,17646099464.569996,,,
2025-04-01,19175525385.18,,,
2025-05-01,18440139331.280003,,,
2025-06-01,18838825918.260002,,,
2025-07-01,19485732879.669994,,,
2025-08-01,18858307325.620003,,,
2025-09-01,,19438285496.53376,18801163482.86264,20053813632.998634
2025-10-01,,19752302683.47592,19081752595.054005,20477083784.84175
2025-11-01,,19303933857.173798,18570560690.04717,20088850248.445602
2025-12-01,,20775407944.32933,19927242438.080093,21646804567.377144
2026-01-01,,19613950937.784637,18743725393.669014,20525147906.333523
2026-02-01,,18415249377.33821,17544903865.027,19331622868.51337
2026-03-01,,18715066753.78238,17784100363.25049,19842718964.108967
2026-04-01,,19520511579.008865,18574683144.15151,20597043356.681667
2026-05-01,,18539552837.76042,17540778141.58914,19598309093.60024
2026-06-01,,19356339769.080696,18339935644.15775,20530901054.974392
2026-07-01,,19952346476.668762,18857931384.079098,21180132952.468533
2026-08-01,,19711440769.636707,18582813278.883797,20994134120.538555
2026-09-01,,20554632313.625313,19359609739.784534,21873964908.652184
2026-10-01,,20658028837.9591,19425592956.86667,22181852672.366184
2026-11-01,,20616391702.392036,19336932285.708782,22178961824.460545
2026-12-01,,21922644635.420513,20449084862.246273,23546392818.62723
2027-01-01,,20520572398.395626,19082777609.513897,22209423693.789654
2027-02-01,,19395960293.454826,18018138763.66732,20968820914.977608
2027-03-01,,20119926626.641476,18687584702.619976,21825317609.494503
2027-04-01,,20739043381.051723,19152850094.943325,22485866021.29099
2027-05-01,,19697357379.490723,18227775433.52762,21414298528.729736
2027-06-01,,20458804320.551407,18846067486.174713,22267826723.776413
2027-07-01,,20934280079.339558,19292389666.15165,22781785226.59953
2027-08-01,,21129714694.391754,19440826897.888386,23036385006.0319
